branchname,district,division,region,state,pincode
CHETPET,none,none,none,none,none
Gadasarai,Dindori,Balaghat,Bhopal HQ,Madhya Pradesh,481882
Newai,Tonk,Tonk,Ajmer,Rajasthan,304021
Gumla,Gumla,Ranchi,Ranchi,Jharkhand,835207
Barkote,Debagarh,Sambalpur,Sambalpur,Odisha,768110
Panskura,East Midnapore,Tamluk,South Bengal,West Bengal,721139
WAZIRGANJ,none,none,none,none,none
Lonikand,Pune,Pune Moffusil,Pune,Maharashtra,412216
Athamallik,Angul,Dhenkanal,Sambalpur,Odisha,759125
Vijayraghavgarh,Katni,Jabalpur,Indore,Madhya Pradesh,483775
BADAUN,none,none,none,none,none
Pune,Pune,Pune City East,Pune,Maharashtra,411001
Gubbi,Tumkur,Tumkur,South Karnataka,Karnataka,572216
BRISINGHPUR,none,none,none,none,none
Limbdi,Surendra Nagar,Surendranagar,Rajkot,Gujarat,363421
Sahebganj,Bhagalpur,Bhagalpur,Patna HQ,Bihar,812004
VISSANNAPETAA,none,none,none,none,none
DHIGAWA,none,none,none,none,none
Haripur,Solan,Solan,Shimla HQ,Himachal Pradesh,173206
Kansabel,Jashpur,Raigarh,Raipur,Chattisgarh,496223
Suryapet,Nalgonda,Suryapet,Hyderabad,Telangana,508213
SEVALIA,none,none,none,none,none
Jakhod,Jhujhunu,Jhunjhunu,Jodhpur,Rajasthan,333033
Aska,Ganjam,Aska,Berhampur,Odisha,761110
Narsampet,Warangal,Warangal,Hyderabad,Telangana,506132
Babai,Dewas,Indore Moffusil,Indore,Madhya Pradesh,455118
Chhat,Bilaspur (HP),Hamirpur,Shimla HQ,Himachal Pradesh,174029
Arjuni,Janjgir-champa,Bilaspur,Raipur,Chattisgarh,495552
GURSAHAIGANJ,none,none,none,none,none
Andipatti,Madurai,Madurai,Madurai,Tamil Nadu,625218
Banmore,Morena,Morena,Gwalior,Madhya Pradesh,476444
MARANAL,none,none,none,none,none
PONNAMARAVATHI,none,none,none,none,none
PONNAMARAVATHI,none,none,none,none,none
Jesar,Bhavnagar,Bhavnagar,Rajkot,Gujarat,364510
Sohali,Jhujhunu,Jhunjhunu,Jodhpur,Rajasthan,333515
Rengali,Balangir,Balangir,Sambalpur,Odisha,767022
Kurundwad,Kolhapur,Kolhapur,Goa-Panaji,Maharashtra,416106
Silchar,Cachar,Cachar,Guwahati HQ,Assam,788001
QUILANDY,none,none,none,none,none
XXXAMRELI,none,none,none,none,none
XXXAMRELI,none,none,none,none,none
Belur,Haveri,Haveri,North Karnataka,Karnataka,581211
ALLAGADDA,none,none,none,none,none
Gorakhpur,Raisen,Vidisha,Bhopal HQ,Madhya Pradesh,464774
Gangapur,Ganjam,Aska,Berhampur,Odisha,761109
Mohania,Kaimur (Bhabua),Rohtas,Patna HQ,Bihar,821109
Talcher,Angul,Dhenkanal,Sambalpur,Odisha,759100
Unjha,Mahesana,Mahesana,Ahmedabad HQ,Gujarat,384170
Nainpur,Mandla,Balaghat,Bhopal HQ,Madhya Pradesh,481776
COLONELGANJ,none,none,none,none,none
Sawai,Nicobar,A - N Islands,Calcutta HQ,Andaman & Nicobar,744301
Oddanchatram,Dindigul,Dindigul,Madurai,Tamil Nadu,624619
Nakhatrana,Kachchh,Kutch,Rajkot,Gujarat,370615
Mohopada,Raigarh(MH),New Mumbai,Mumbai,Maharashtra,410222
Daryapur,East Nimar,Khandwa,Indore,Madhya Pradesh,450331
Faizabad,Medak,Sangareddy,Hyderabad,Telangana,502314
DOBOKA,none,none,none,none,none
Mawana,Meerut,Meerut,Bareilly,Uttar Pradesh,250401
Fazilka,Firozpur,Ferozpur,Chandigarh Region,Punjab,152123
Jagdalpur,Bargarh,Sambalpur,Sambalpur,Odisha,768036
Mauganj,Rewa,Rewa,Bhopal HQ,Madhya Pradesh,486331
Vadakara,Kozhikode,Vadakara,Calicut,Kerala,673101
Deh,Nagaur,Nagaur,Jodhpur,Rajasthan,341022
Ramnagar,Madhepura,Saharsa,Muzaffarpur,Bihar,852112
Kolaras,Shivpuri,Guna,Gwalior,Madhya Pradesh,473770
Orai,Jalaun,Jhansi,Agra,Uttar Pradesh,285001
Savarkundla,Amreli,Amreli,Rajkot,Gujarat,364515
DEVADURGA,none,none,none,none,none
BHAISDAHI,none,none,none,none,none
Liliya,Nagaur,Nagaur,Jodhpur,Rajasthan,341518
Abhanpur,Raipur,Raipur,Raipur,Chattisgarh,493661
Pusad,Barmer,Barmer,Jodhpur,Rajasthan,344701
DUNGARGARH,none,none,none,none,none
Kishangarh,Jalandhar,Jalandhar,Chandigarh Region,Punjab,144301
Patan,Alwar,Alwar,Jaipur HQ,Rajasthan,301414
Indapur,Osmanabad,Osmanabad,Aurangabad,Maharashtra,413525
Koregaon,Chandrapur,Chandrapur,Nagpur,Maharashtra,441207
Masani,Hanumangarh,Sriganganagar,Jodhpur,Rajasthan,335526
Hirisave,Hassan,Hassan,South Karnataka,Karnataka,573124
CHANDABALI,none,none,none,none,none
Sirathu,Kaushambi,Allahabad,Allahabad,Uttar Pradesh,212217
Gurugram,Shahjahanpur,Shahjahanpur,Bareilly,Uttar Pradesh,242221
Rakhiyal,Sabarkantha,Sabarkantha,Ahmedabad HQ,Gujarat,383276
Aau,Jodhpur,Jodhpur,Jodhpur,Rajasthan,342311
Babai,Dewas,Indore Moffusil,Indore,Madhya Pradesh,455118
Sumerpur,Unnao,Kanpur Moffusil,Kanpur,Uttar Pradesh,209866
Bhabhar,Banaskantha,Banasanktha,Ahmedabad HQ,Gujarat,385320
Vempalli,Adilabad,Adilabad,Hyderabad,Telangana,504296
Panvel,Raigarh(MH),New Mumbai,Mumbai,Maharashtra,410206
DABASPET,none,none,none,none,none
Bheden,Bargarh,Sambalpur,Sambalpur,Odisha,768104
Dehri,Sagar,Sagar,Bhopal HQ,Madhya Pradesh,470113
Gulbarga,Gulbarga,Gulbarga,North Karnataka,Karnataka,585101
Siwana,Barmer,Barmer,Jodhpur,Rajasthan,344044
Rajpura,Churu,Churu,Jodhpur,Rajasthan,331029
Mundargi,Gadag,Gadag,North Karnataka,Karnataka,582118
Khalapur,Raigarh(MH),New Mumbai,Mumbai,Maharashtra,410202
Handia,Rewa,Rewa,Bhopal HQ,Madhya Pradesh,486115
BAREJA,none,none,none,none,none
Samana,Jamnagar,Jamnagar,Rajkot,Gujarat,360520
Gangavathi,Koppal,Gadag,North Karnataka,Karnataka,583227
CHALAKUDY,none,none,none,none,none
Ghodegaon,Aurangabad,Aurangabad(Maharashtra),Aurangabad,Maharashtra,423702
Balurghat,South Dinajpur,West Dinajpur,North Bengal And Sikkim,West Bengal,733101
SOYATKALAN,none,none,none,none,none
Nabha,Patiala,Patiala,Chandigarh HQ,Punjab,147201
Bhachau,Kachchh,Kutch,Rajkot,Gujarat,370140
TARN,none,none,none,none,none
Pandaria,Aurangabad(BH),Aurangabad(Bihar),Patna HQ,Bihar,824111
Mulbagal,Kolar,Kolar,South Karnataka,Karnataka,563131
Ramnagar,Madhepura,Saharsa,Muzaffarpur,Bihar,852112
Bayad,Pali,Pali,Jodhpur,Rajasthan,306421
Maksudangarh,Guna,Guna,Gwalior,Madhya Pradesh,473287
Kheralu,Mahesana,Mahesana,Ahmedabad HQ,Gujarat,384325
Jejuri,Pune,Pune Moffusil,Pune,Maharashtra,412303
VIKASNAGAR,none,none,none,none,none
Asind,Bhilwara,Bhilwara,Ajmer,Rajasthan,311301
Renwal,Jaipur,Jaipur Moffusil,Jaipur HQ,Rajasthan,303603
Kosamba,Surat,Surat,Vadodara,Gujarat,394120
Barodameo,Alwar,Alwar,Jaipur HQ,Rajasthan,301021
Thanagazi,Alwar,Alwar,Jaipur HQ,Rajasthan,301022
Deola,Beed,Beed,Aurangabad,Maharashtra,431523
RAILMAGARA,none,none,none,none,none
Srinivaspur,Kolar,Kolar,South Karnataka,Karnataka,563135
Dapoli,Raigarh(MH),Raigad,Mumbai,Maharashtra,402302
BILAHATA,none,none,none,none,none
ASHOK,none,none,none,none,none
Begowal,Amritsar,Amritsar,Chandigarh Region,Punjab,143601
Palai,Kottayam,Kottayam,Kochi,Kerala,686575
Kunigal,Tumkur,Tumkur,South Karnataka,Karnataka,572130
Lalru,Mohali,Chandigarh,Chandigarh HQ,Punjab,140501
HARPANAHALLI,none,none,none,none,none
Netrang,Bharuch,Bharuch,Vadodara,Gujarat,393130
Dodamarg,North Goa,Goa,Goa-Panaji,Goa,403503
Santrampur,Panch Mahals,Panchmahals,Vadodara,Gujarat,389260
Sewari,Gurgaon,Gurgaon,Ambala  HQ,Haryana,122506
Nani,Banaskantha,Banasanktha,Ahmedabad HQ,Gujarat,385310
Patdi,Surendra Nagar,Surendranagar,Rajkot,Gujarat,382765
BIJUPARA,none,none,none,none,none
Thandla,Jhabua,Ratlam,Indore,Madhya Pradesh,457777
BARAHIYA,none,none,none,none,none
CHIKANTHAPUR,none,none,none,none,none
Hardoi,Raebareli,Rae Bareilly,Lucknow  HQ,Uttar Pradesh,229123
MOHIUDDIN,none,none,none,none,none
Dabhara,Araria,Purnea,Muzaffarpur,Bihar,854311
MUMBAI,none,none,none,none,none
Haliyal,Uttara Kannada,Sirsi,North Karnataka,Karnataka,581329
Pune,Pune,Pune City East,Pune,Maharashtra,411001
Pimpri,Osmanabad,Osmanabad,Aurangabad,Maharashtra,413582
PATTRAN,none,none,none,none,none
Saswad,Pune,Pune Moffusil,Pune,Maharashtra,412301
Tiptur,Tumkur,Tumkur,South Karnataka,Karnataka,572201
Nokha,Bikaner,Bikaner,Jodhpur,Rajasthan,334803
Amroha,Jyotiba Phule Nagar,Moradabad,Bareilly,Uttar Pradesh,244221
Sidhauli,Sitapur,Sitapur,Lucknow  HQ,Uttar Pradesh,261303
Lakhimpur,Darrang,Darrang,Guwahati HQ,Assam,784525
Ambikapur,Surguja,Raigarh,Raipur,Chattisgarh,497001
Kotpad,Bastar,Bastar,Raipur,Chattisgarh,494228
Kumta,Uttara Kannada,Karwar,North Karnataka,Karnataka,581343
Katwa,Bardhaman,Burdwan,South Bengal,West Bengal,713130
Balumath,Latehar,Palamau,Ranchi,Jharkhand,829202
Tumsar,Balaghat,Balaghat,Bhopal HQ,Madhya Pradesh,481445
Kalavad,Jamnagar,Jamnagar,Rajkot,Gujarat,361160
Digras,Hingoli,Pharbhani,Aurangabad,Maharashtra,431705
Bulandshahr,Bulandshahr,Bulandshahar,Agra,Uttar Pradesh,203001
Ferozpur,Kannauj,Fatehgarh,Kanpur,Uttar Pradesh,209738
Vinjamur,Mahabub Nagar,Mahabubnagar,Hyderabad,Telangana,509371
Saidapur,Godda,Santhal Parganas,Ranchi,Jharkhand,814133
PIPARCITY,none,none,none,none,none
Bihpur,Bhagalpur,Bhagalpur,Patna HQ,Bihar,853201
Beri,Etah,Etah,Agra,Uttar Pradesh,207401
Kali,Nagapattinam,Kumbakonam,Tiruchy,Tamil Nadu,609811
DENKANIKOTTAI,none,none,none,none,none
PATHANANTHITTA,none,none,none,none,none
Nathdwara,Rajsamand,Udaipur,Ajmer,Rajasthan,313301
Angul,Angul,Dhenkanal,Sambalpur,Odisha,759122
Moga,Moga,Faridkot,Chandigarh Region,Punjab,142001
Sarath,Deoghar,Santhal Parganas,Ranchi,Jharkhand,814149
BHANDER,none,none,none,none,none
ROHATAK,none,none,none,none,none
ROHATAK,none,none,none,none,none
Badarpur,Mahesana,Mahesana,Ahmedabad HQ,Gujarat,384355
Gariyadhar,Bhavnagar,Bhavnagar,Rajkot,Gujarat,364505
SHRIDHAM,none,none,none,none,none
Khalari,Ranchi,Palamau,Ranchi,Jharkhand,829205
KOILKUNTLA,none,none,none,none,none
BEHROR,none,none,none,none,none
Karaikudi,Sivaganga,Karaikudi,Madurai,Tamil Nadu,630001
Attabira,Jharsuguda,Sambalpur,Sambalpur,Odisha,768226
Chandrapur,East Singhbhum,Singhbhum,Ranchi,Jharkhand,832101
Kantabanji,Balangir,Balangir,Sambalpur,Odisha,767039
ROOPANGARH,none,none,none,none,none
Nijhar,Surat,Bardoli,Vadodara,Gujarat,394370
Mungaoli,Morena,Morena,Gwalior,Madhya Pradesh,476001
Jasrasar,Churu,Churu,Jodhpur,Rajasthan,331001
Kandukur,Prakasam,Prakasam,Vijayawada,Andhra Pradesh,523105
Jaitu,Faridkot,Faridkot,Chandigarh Region,Punjab,151202
Bhalki,East Singhbhum,Singhbhum,Ranchi,Jharkhand,831002
Shahbad,Alwar,Alwar,Jaipur HQ,Rajasthan,301411
TIJARA,none,none,none,none,none
Gingee,Villupuram,Pondicherry,Chennai Region,Tamil Nadu,604202
Chunni,Madhubani,Madhubani,Muzaffarpur,Bihar,847408
Kotma,Anuppur,Shahdol,Bhopal HQ,Madhya Pradesh,484334
Kishore,Thane,Thane Central,Mumbai,Maharashtra,421401
Talcher,Angul,Dhenkanal,Sambalpur,Odisha,759100
Pipariya,Gondia,Nagpur Moffusil,Nagpur,Maharashtra,441916
Jamua,Sitamarhi,Sitamarhi,Muzaffarpur,Bihar,843313
Rahuri,Ahmed Nagar,Shrirampur,Pune,Maharashtra,413705
Areraj,East Champaran,East Champaran,Muzaffarpur,Bihar,845411
Badvel,Cuddapah,Cuddapah,Kurnool,Andhra Pradesh,516227
Kumher,Bharatpur,Bharatpur,Jaipur HQ,Rajasthan,321201
BAUNSUNI,none,none,none,none,none
Revdanda,Raigarh(MH),Raigad,Mumbai,Maharashtra,402202
SHILLONG,none,none,none,none,none
NIHAL,none,none,none,none,none
Una,Una,Una,Shimla HQ,Himachal Pradesh,174303
Mahakalpara,Kendrapara,Cuttack North,Bhubaneswar HQ,Odisha,754224
Tosham,Adilabad,Adilabad,Hyderabad,Telangana,504308
Jangaon,Nizamabad,Nizamabad,Hyderabad,Telangana,503125
Rayya,Amritsar,Amritsar,Chandigarh Region,Punjab,143112
Gandhidham,Kachchh,Kutch,Rajkot,Gujarat,370201
Ulundurpet,Villupuram,Vriddhachalam,Tiruchy,Tamil Nadu,606107
Kallakurichi,Villupuram,Vriddhachalam,Tiruchy,Tamil Nadu,606202
Sarangpur,Panna,Chhatarpur,Bhopal HQ,Madhya Pradesh,488448
BHANDIHATTI,none,none,none,none,none
Mahuana,Muktsar,Faridkot,Chandigarh Region,Punjab,152114
Alipurduar,Jalpaiguri,Cooch Behar,North Bengal And Sikkim,West Bengal,736121
Gadarwara,Narsinghpur,Hoshangabad,Bhopal HQ,Madhya Pradesh,487551
Manikchak,Malda,Malda,North Bengal And Sikkim,West Bengal,732202
CHHATTARGARH,none,none,none,none,none
Tamluk,East Midnapore,Tamluk,South Bengal,West Bengal,721636
Taliparamba,Kannur,Cannanore,Calicut,Kerala,670141
Bankhedi,Raisen,Vidisha,Bhopal HQ,Madhya Pradesh,464671
Chhendipada,Angul,Dhenkanal,Sambalpur,Odisha,759124
Mahalinga,Kalahandi,Kalahandi,Berhampur,Odisha,766036
Majalgaon,Beed,Beed,Aurangabad,Maharashtra,431131
Sankheda,Raisen,Vidisha,Bhopal HQ,Madhya Pradesh,464665
Sindgi,Bijapur(KAR),Bijapur,North Karnataka,Karnataka,586128
Bhitarwar,Gwalior,Gwalior,Gwalior,Madhya Pradesh,475220
Ajara,Kolhapur,Kolhapur,Goa-Panaji,Maharashtra,416505
HUSNABAD,none,none,none,none,none
HISSAR,none,none,none,none,none
HISSAR,none,none,none,none,none
Dhorimana,Barmer,Barmer,Jodhpur,Rajasthan,344704
Panjipara,North Dinajpur,West Dinajpur,North Bengal And Sikkim,West Bengal,733208
Kalimpong,Darjiling,Darjeeling,North Bengal And Sikkim,West Bengal,734301
CHHOTA,none,none,none,none,none
Barhalganj,Gorakhpur,Gorakhpur,Gorakhpur,Uttar Pradesh,273402
Bagepalli,Kolar,Kolar,South Karnataka,Karnataka,561207
Atmakur,Ananthapur,Hindupur,Kurnool,Andhra Pradesh,515631
Galagali,Bagalkot,Bagalkot,North Karnataka,Karnataka,587117
RAILWAY,none,none,none,none,none
Kunnamkulam,Thrissur,Trichur,Kochi,Kerala,680503
Dhone,Kurnool,Kurnool,Kurnool,Andhra Pradesh,518222
Dhamangaon,Jalgaon,Jalgaon,Aurangabad,Maharashtra,424106
Belda,Kendujhar,Keonjhar,Sambalpur,Odisha,758034
Undri,Beed,Beed,Aurangabad,Maharashtra,431123
Dharamgarh,Sangrur,Sangrur,Chandigarh HQ,Punjab,148028
Ghatal,West Midnapore,Midnapore,South Bengal,West Bengal,721212
Pombhurna,Chandrapur,Chandrapur,Nagpur,Maharashtra,442918
Kundgol,Dharwad,Dharwad,North Karnataka,Karnataka,581113
BOUDH,none,none,none,none,none
Sivagiri,West Godavari,Tadepalligudem,Vijayawada,Andhra Pradesh,534315
Jandiala,Nawanshahr,Jalandhar,Chandigarh Region,Punjab,144505
Kapurthala,Kapurthala,Kapurthala,Chandigarh Region,Punjab,144601
Chandrapur,East Singhbhum,Singhbhum,Ranchi,Jharkhand,832101
Pipaltha,Jind,Karnal,Ambala  HQ,Haryana,126116
Rampura,Sikar,Sikar,Jodhpur,Rajasthan,332719
RAJSUNAKHELA,none,none,none,none,none
Fatehpur,Baleswar,Balasore,Bhubaneswar HQ,Odisha,756048
Pulivendla,Cuddapah,Proddatur,Kurnool,Andhra Pradesh,516390
Gorantla,Ananthapur,Hindupur,Kurnool,Andhra Pradesh,515231
MUDKHED,none,none,none,none,none
Palakonda,Srikakulam,Parvathipuram,Visakhapatnam,Andhra Pradesh,532440
Jalalpur,Vaishali,Vaishali,Patna HQ,Bihar,844121
Manavadar,Junagadh,Porbandar,Rajkot,Gujarat,362630
Muktainagar,Jalgaon,Bhusaval,Aurangabad,Maharashtra,425306
Jammikunta,Karim Nagar,Peddapalli,Hyderabad,Telangana,505122
Darwha,Yavatmal,Yeotmal,Nagpur,Maharashtra,445202
Shahpura,Jaipur,Jaipur Moffusil,Jaipur HQ,Rajasthan,303103
Madhepura,Madhepura,Saharsa,Muzaffarpur,Bihar,852113
Ghugus,Chandrapur,Chandrapur,Nagpur,Maharashtra,442505
NAGARUNTARI,none,none,none,none,none
Lunkaransar,Bikaner,Bikaner,Jodhpur,Rajasthan,334603
Margao,South Goa,Goa,Goa-Panaji,Goa,403601
Indri,Karnal,Karnal,Ambala  HQ,Haryana,132041
Nyalkal,Medak,Sangareddy,Hyderabad,Telangana,502256
Chhoti,Kendrapara,Cuttack North,Bhubaneswar HQ,Odisha,754214
MANNAEKHELLI,none,none,none,none,none
Amarpatan,Satna,Rewa,Bhopal HQ,Madhya Pradesh,485775
Gauribidanur,Kolar,Kolar,South Karnataka,Karnataka,561208
Amreli,Amreli,Amreli,Rajkot,Gujarat,365601
Mohali,Gadchiroli,Chandrapur,Nagpur,Maharashtra,442606
Toopran,Medak,Medak,Hyderabad,Telangana,502334
Mahabaleshwar,Satara,Satara,Pune,Maharashtra,412806
Pindwara,Sirohi,Sirohi,Jodhpur,Rajasthan,307022
Manjuri,Bhadrak,Bhadrak,Bhubaneswar HQ,Odisha,756122
Bhiwapur,Nagpur,Nagpur Moffusil,Nagpur,Maharashtra,441201
Ramnagar,Madhepura,Saharsa,Muzaffarpur,Bihar,852112
Sathupalli,Khammam,Khammam,Vijayawada,Telangana,507303
Bidasar,Churu,Churu,Jodhpur,Rajasthan,331501
Rania,Ranchi,Ranchi,Ranchi,Jharkhand,835227
Somwarpet,Kodagu,Kodagu,South Karnataka,Karnataka,571236
LADNUN,none,none,none,none,none
Halakundi,Bellary,Bellary,North Karnataka,Karnataka,583102
Malda,Koraput,Koraput,Berhampur,Odisha,764056
CHACHAURA,none,none,none,none,none
Pachore,Rajgarh,Sehore,Indore,Madhya Pradesh,465683
Pattikonda,Kurnool,Kurnool,Kurnool,Andhra Pradesh,518380
Nilanga,Latur,Osmanabad,Aurangabad,Maharashtra,413521
KODALU,none,none,none,none,none
Guru,Ranchi,Ranchi,Ranchi,Jharkhand,835222
Thammampatti,Salem,Salem East,Coimbatore,Tamil Nadu,636113
A,none,none,none,none,none
Ankleshwar,Bharuch,Bharuch,Vadodara,Gujarat,393001
Teliamura,West Tripura,Dharmanagar,Shillong HQ,Tripura,799205
Tihidi,Bhadrak,Bhadrak,Bhubaneswar HQ,Odisha,756130
KADAPA,none,none,none,none,none
VADDANGI,none,none,none,none,none
VADDANGI,none,none,none,none,none
KOLAYAT,none,none,none,none,none
DHASA,none,none,none,none,none
KOTHAGUDEM,none,none,none,none,none
Nagri,Bankura,Bankura,South Bengal,West Bengal,722140
Amethi,Gaya,Nawadha,Patna HQ,Bihar,805131
Naranpur,Jamnagar,Jamnagar,Rajkot,Gujarat,361012
Channagiri,Davangere,Shimoga,South Karnataka,Karnataka,577213
Nagod,Surat,Bardoli,Vadodara,Gujarat,394320
Nimbi,Mahendragarh,Gurgaon,Ambala  HQ,Haryana,123029
Lalkuan,Bulandshahr,Bulandshahar,Agra,Uttar Pradesh,203001
Akodia,Ajmer,Ajmer,Ajmer,Rajasthan,305813
Manpur,Junagadh,Junagadh,Rajkot,Gujarat,362260
DODDAWAD,none,none,none,none,none
Tezpur,South 24 Parganas,South Presidency,Calcutta,West Bengal,743354
Bakhtiyarpur,Patna,Nalanda,Patna HQ,Bihar,803212
Parbhani,Parbhani,Pharbhani,Aurangabad,Maharashtra,431401
PERAMBRA,none,none,none,none,none
Barwala,Tarn Taran,Amritsar,Chandigarh Region,Punjab,143416
Baruipur,South 24 Parganas,South Presidency,Calcutta,West Bengal,700144
Nagaon,Dhule,Dhule,Aurangabad,Maharashtra,424005
Valpoi,North Goa,Goa,Goa-Panaji,Goa,403506
Mangalagiri,Guntur,Guntur,Vijayawada,Andhra Pradesh,522503
Dhandhuka,Ahmedabad,Gandhinagar,Ahmedabad HQ,Gujarat,382460
Bellur,Mandya,Mandya,South Karnataka,Karnataka,571433
Niwari,Narsinghpur,Hoshangabad,Bhopal HQ,Madhya Pradesh,461771
Goalpara,Malda,Malda,North Bengal And Sikkim,West Bengal,732126
Gondal,Koraput,Koraput,Berhampur,Odisha,764043
DEVARHIPPARGI,none,none,none,none,none
Islampur,Gurdaspur,Gurdaspur,Chandigarh Region,Punjab,143526
Simdega,Sundergarh,Sundargarh,Sambalpur,Odisha,770014
Rahatgarh,Sagar,Sagar,Bhopal HQ,Madhya Pradesh,470119
Pakur,Pakur,Santhal Parganas,Ranchi,Jharkhand,816107
PARGI,none,none,none,none,none
NIDADAVOLU,none,none,none,none,none
NIDADAVOLU,none,none,none,none,none
Jafrabad,Kannauj,Fatehgarh,Kanpur,Uttar Pradesh,209721
Burhar,Shahdol,Shahdol,Bhopal HQ,Madhya Pradesh,484110
Naigarhi,Rewa,Rewa,Bhopal HQ,Madhya Pradesh,486340
Khuldabad,Aurangabad,Aurangabad(Maharashtra),Aurangabad,Maharashtra,431101
Razole,East Godavari,Amalapuram,Visakhapatnam,Andhra Pradesh,533242
VIJALPORE,none,none,none,none,none
Varangaon,Jalgaon,Bhusaval,Aurangabad,Maharashtra,425305
Hamirgarh,Bathinda,Bhatinda,Chandigarh Region,Punjab,151206
CHANDURBAZAR,none,none,none,none,none
Suar,Rampur,Moradabad,Bareilly,Uttar Pradesh,244924
Gogapur,Nandurbar,Dhule,Aurangabad,Maharashtra,425424
Dehu,Pune,Pune Moffusil,Pune,Maharashtra,412109
Mandhal,Nagpur,Nagpur Moffusil,Nagpur,Maharashtra,441210
Pimpalner,Beed,Beed,Aurangabad,Maharashtra,431153
Kurud,Durg,Durg,Raipur,Chattisgarh,490024
JHULJHULI,none,none,none,none,none
Mangalpur,Dhenkanal,Dhenkanal,Sambalpur,Odisha,759015
Kadodara,Bharuch,Bharuch,Vadodara,Gujarat,392165
AJRA,none,none,none,none,none
Nilambur,Coimbatore,Coimbatore,Coimbatore,Tamil Nadu,641062
Borunda,Jodhpur,Jodhpur,Jodhpur,Rajasthan,342604
Rudrapur,Gopalganj,Siwan,Muzaffarpur,Bihar,841437
Fatehpur,Baleswar,Balasore,Bhubaneswar HQ,Odisha,756048
Bongaon,Golaghat,Sibsagar,Dibrugarh,Assam,785611
GHANSOR,none,none,none,none,none
JORETHANG,none,none,none,none,none
JORETHANG,none,none,none,none,none
Budhera,Bagpat,Meerut,Bareilly,Uttar Pradesh,250611
Gidderbaha,Muktsar,Faridkot,Chandigarh Region,Punjab,152101
Loharu,Bhiwani,Bhiwani,Ambala  HQ,Haryana,127201
MARWAR,none,none,none,none,none
Udaipura,Lalitpur,Jhansi,Agra,Uttar Pradesh,284402
Vadakara,Kozhikode,Vadakara,Calicut,Kerala,673101
Mehkar,Bidar,Bidar,North Karnataka,Karnataka,585416
Bikaner,Bikaner,Bikaner,Jodhpur,Rajasthan,334001
Digboi,Tinsukia,Tinsukia,Dibrugarh,Assam,786171
Varanasi,Varanasi,Varanasi East,Allahabad,Uttar Pradesh,221001
HANUMASAGAR,none,none,none,none,none
Dergaon,Golaghat,Sibsagar,Dibrugarh,Assam,785614
PANKI,none,none,none,none,none
Jagalur,Davangere,Chitradurga,South Karnataka,Karnataka,577528
Ghazipur,Barabanki,Barabanki,Lucknow  HQ,Uttar Pradesh,225405
BAYTU,none,none,none,none,none
Mau,Sultanpur,Sultanpur,Lucknow  HQ,Uttar Pradesh,227409
Beliatore,Bankura,Bankura,South Bengal,West Bengal,722203
Uchchhal,Tapi,Bardoli,Vadodara,Gujarat,394375
Jahazpur,Bhilwara,Bhilwara,Ajmer,Rajasthan,311201
Kondagaon,Bastar,Bastar,Raipur,Chattisgarh,494226
KHEDLA,none,none,none,none,none
GOA,none,none,none,none,none
xyz,none,none,none,none,none
xyz,none,none,none,none,none
MAHUVA,none,none,none,none,none
Rajampet,Cuddapah,Cuddapah,Kurnool,Andhra Pradesh,516115
ETURNAGARAM,none,none,none,none,none
Mancherial,Adilabad,Adilabad,Hyderabad,Telangana,504208
Mandla,Mandla,Balaghat,Bhopal HQ,Madhya Pradesh,481661
KUKARMUNDA,none,none,none,none,none
Saraiya,Banka,Bhagalpur,Patna HQ,Bihar,813104
Gurramkonda,Chittoor,Tirupati,Kurnool,Andhra Pradesh,517297
KARUNAGAPPALLY,none,none,none,none,none
Meharwala,Hanumangarh,Sriganganagar,Jodhpur,Rajasthan,335526
Hisar,Hisar,Hissar,Ambala  HQ,Haryana,125001
RAMESHWARAM,none,none,none,none,none
Sira,Tumkur,Tumkur,South Karnataka,Karnataka,572137
Kurwai,Vidisha,Vidisha,Bhopal HQ,Madhya Pradesh,464224
HOSA,none,none,none,none,none
Dighwara,Gaya,Gaya,Patna HQ,Bihar,824236
Fatehabad,Muzaffarpur,Muzaffarpur,Muzaffarpur,Bihar,843107
Danta,Neemuch,Mandsaur,Indore,Madhya Pradesh,458116
SUGGENI,none,none,none,none,none
Gania,Nayagarh,Puri,Bhubaneswar HQ,Odisha,752085
Pachora,Jalgaon,Jalgaon,Aurangabad,Maharashtra,424201
Anantpur,Belgaum,Chikodi,North Karnataka,Karnataka,591212
Linga,Balaghat,Balaghat,Bhopal HQ,Madhya Pradesh,481001
Dhad,Buldhana,Buldana,Nagpur,Maharashtra,443106
Bethamangala,Kolar,Kolar,South Karnataka,Karnataka,563116
Lalgudi,Tiruchirappalli,Tiruchirapalli,Tiruchy,Tamil Nadu,621601
KAMUTHI,none,none,none,none,none
UTHUKKOTTAI,none,none,none,none,none
Karanjia,West Singhbhum,Singhbhum,Ranchi,Jharkhand,833214
Kharagpur,Morena,Morena,Gwalior,Madhya Pradesh,476444
Khairthal,Alwar,Alwar,Jaipur HQ,Rajasthan,301404
CHERUTHONI,none,none,none,none,none
Dallirajhara,Durg,Durg,Raipur,Chattisgarh,491228
SHIKARIPURA,none,none,none,none,none
R,none,none,none,none,none
Pauri,Pauri Garhwal,Pauri,Dehradun,Uttarakhand,246001
Mandi,Jaipur,Jaipur Moffusil,Jaipur HQ,Rajasthan,303005
