branchname,district,division,region,state,pincode
Kavathe,Solapur,Solapur,Pune,Maharashtra,413002
Kannur,Bangalore,Channapatna,Bangalore HQ,Karnataka,562149
Viramgam,Ahmedabad,Gandhinagar,Ahmedabad HQ,Gujarat,382150
Shindkheda,Dhule,Dhule,Aurangabad,Maharashtra,425406
Shirpur,Palamau,Palamau,Ranchi,Jharkhand,822120
JEVARGI,none,none,none,none,none
Yawal,Jalgaon,Bhusaval,Aurangabad,Maharashtra,425301
Bhuj,Kachchh,Kutch,Rajkot,Gujarat,370001
PRACHI,none,none,none,none,none
PODALUKUR,none,none,none,none,none
PODALUKUR,none,none,none,none,none
Supa,Mahoba,Banda,Kanpur,Uttar Pradesh,210421
Roorkee,Haridwar,Dehradun,Dehradun,Uttarakhand,247667
Malappuram,Malappuram,Manjeri,Calicut,Kerala,676505
MAKAPADWANJ,none,none,none,none,none
Gadag,Gadag,Gadag,North Karnataka,Karnataka,582101
Mandvi,Patan,Patan,Ahmedabad HQ,Gujarat,384245
Yadiki,Ananthapur,Anantapur,Kurnool,Andhra Pradesh,515408
Khedbrahma,Sabarkantha,Sabarkantha,Ahmedabad HQ,Gujarat,383255
Ranoli,Tonk,Tonk,Ajmer,Rajasthan,304801
DARINGBADI,none,none,none,none,none
Narwar,Ajmer,Ajmer,Ajmer,Rajasthan,305811
DOONI,none,none,none,none,none
Rajgarh,Shivpuri,Guna,Gwalior,Madhya Pradesh,473774
Dera,Angul,Dhenkanal,Sambalpur,Odisha,759103
PEIKULAM,none,none,none,none,none
Merta,Nagaur,Nagaur,Jodhpur,Rajasthan,341510
Bagnan,Howrah,Howrah,South Bengal,West Bengal,711303
NARKATIAGANJ,none,none,none,none,none
Chhapara,Seoni,Balaghat,Bhopal HQ,Madhya Pradesh,480884
HALIYA,none,none,none,none,none
Sitapur,Ahmedabad,Gandhinagar,Ahmedabad HQ,Gujarat,382130
Bhuna,Fatehabad,Hissar,Ambala  HQ,Haryana,125111
Ankleshwar,Bharuch,Bharuch,Vadodara,Gujarat,393001
Lonar,Buldhana,Buldana,Nagpur,Maharashtra,443302
Madathukulam,Coimbatore,Pollachi,Coimbatore,Tamil Nadu,642113
Akhnoor,Jammu,Jammu,Srinagar HQ,Jammu & Kashmir,181201
Sindi,Wardha,Wardha,Nagpur,Maharashtra,442105
KALAGHATGI,none,none,none,none,none
Dhekiajuli,Sonitpur,Darrang,Guwahati HQ,Assam,784110
Kalka,Panchkula,Ambala,Ambala  HQ,Haryana,133302
Mussoorie,Dehradun,Dehradun,Dehradun,Uttarakhand,248179
Koppal,Koppal,Gadag,North Karnataka,Karnataka,583231
Phulparas,Madhubani,Madhubani,Muzaffarpur,Bihar,847409
BERASIA,none,none,none,none,none
Alephata,Pune,Pune Moffusil,Pune,Maharashtra,412411
Pollachi,Coimbatore,Pollachi,Coimbatore,Tamil Nadu,642001
Katihar,Katihar,Purnea,Muzaffarpur,Bihar,854105
SIDDPUR,none,none,none,none,none
MENJERI,none,none,none,none,none
Mettur,Tirunelveli,Kovilpatti,Madurai,Tamil Nadu,627808
Kolhar,Ahmed Nagar,Ahmednagar,Pune,Maharashtra,414106
Kumbakonam,Thanjavur,Kumbakonam,Tiruchy,Tamil Nadu,612001
Koothattukulam,Ernakulam,Alwaye,Kochi,Kerala,686662
Chittoor,Dindigul,Dindigul,Madurai,Tamil Nadu,624702
Dausa,Dausa,Jaipur Moffusil,Jaipur HQ,Rajasthan,303303
Madhupur,West Midnapore,Midnapore,South Bengal,West Bengal,721516
Barkatha,Hazaribag,Hazaribagh,Ranchi,Jharkhand,825323
Bhiwani,Bhiwani,Bhiwani,Ambala  HQ,Haryana,127021
Mahuda,Janjgir-champa,Bilaspur,Raipur,Chattisgarh,495671
Sitamau,Mandsaur,Mandsaur,Indore,Madhya Pradesh,458990
DOOMDOOMA,none,none,none,none,none
Ambad,Jalna,Aurangabad(Maharashtra),Aurangabad,Maharashtra,431204
Bhanjanagar,Ganjam,Aska,Berhampur,Odisha,761126
Bhatapara,Raipur,Raipur,Raipur,Chattisgarh,493118
Kuknoor,Nizamabad,Nizamabad,Hyderabad,Telangana,503311
Hindaun,Karauli,Sawaimadhopur,Jaipur HQ,Rajasthan,322230
Nanpara,Bahraich,Bahraich,Gorakhpur,Uttar Pradesh,271865
Karumathampatti,Coimbatore,Tirupur,Coimbatore,Tamil Nadu,641659
KHIRKIYA,none,none,none,none,none
Ubhadanda,Sindhudurg,Sindhudurg,Goa-Panaji,Maharashtra,416516
Ramtek,Akola,Akola,Nagpur,Maharashtra,444106
Ramagundam,Karim Nagar,Peddapalli,Hyderabad,Telangana,505208
BOINDA,none,none,none,none,none
Kherwara,Udaipur,Udaipur,Ajmer,Rajasthan,313803
Kanaganapalli,Ananthapur,Hindupur,Kurnool,Andhra Pradesh,515641
Pusegaon,Hingoli,Pharbhani,Aurangabad,Maharashtra,431513
Morigaon,Marigaon,Nagaon,Dibrugarh,Assam,782105
Kalamb,Pune,Pune Moffusil,Pune,Maharashtra,413114
Bandanwara,Ajmer,Beawar,Ajmer,Rajasthan,305621
Bhadesar,Chittorgarh,Chittorgarh,Ajmer,Rajasthan,312602
Dera,Angul,Dhenkanal,Sambalpur,Odisha,759103
DOMARIYAGANJ,none,none,none,none,none
Kupari,Baleswar,Balasore,Bhubaneswar HQ,Odisha,756059
Bhimadole,West Godavari,Eluru,Vijayawada,Andhra Pradesh,534425
Raghunathpur,Sidhi,Shahdol,Bhopal HQ,Madhya Pradesh,486776
Virpur,Sabarkantha,Sabarkantha,Ahmedabad HQ,Gujarat,383246
Lakhanpur,Begusarai,Begusarai,Muzaffarpur,Bihar,851133
Islampur,Gurdaspur,Gurdaspur,Chandigarh Region,Punjab,143526
Nizamabad,Karim Nagar,Karimnagar,Hyderabad,Telangana,505301
Wadwani,Beed,Beed,Aurangabad,Maharashtra,431144
Chaibasa,West Singhbhum,Singhbhum,Ranchi,Jharkhand,833201
Hadagali,Bijapur(KAR),Bijapur,North Karnataka,Karnataka,586127
Pandhurna,Chhindwara,Chhindwara,Bhopal HQ,Madhya Pradesh,480334
Omerga,Osmanabad,Osmanabad,Aurangabad,Maharashtra,413606
